TIME,elapsed_time,ax,ay,az,gx,gy,gz,angx,angy,HEADING,temp,pressure,alt,lat,longi,gpsalt,light
2023-07-27 07:49:45,13.012,-0.07,-0.01,1.06,0.08,0.08,-0.34,-0.42,3.52,343.99,25.19,100737.0,1.09,36.365,127.346,0.0,60.0
2023-07-27 07:49:45,13.1152,-0.07,-0.01,1.07,0.24,0.14,-0.14,-0.43,3.76,343.39,25.2,100740.0,0.89,36.365,127.346,0.0,61.0
2023-07-27 07:49:45,13.2038,-0.07,-0.01,1.08,0.25,0.25,-0.05,-0.34,3.76,344.45,25.19,100738.0,1.07,36.365,127.346,0.0,59.0
2023-07-27 07:49:45,13.2975,-0.07,-0.01,1.07,0.26,0.19,-0.02,-0.52,3.66,342.93,25.2,100738.0,1.02,36.365,127.346,0.0,61.0
2023-07-27 07:49:45,13.3824,-0.07,-0.01,1.07,0.24,0.57,-0.03,-0.35,3.57,342.79,25.2,100740.0,0.91,36.365,127.346,0.0,58.0
2023-07-27 07:49:45,13.4675,-0.07,-0.01,1.06,0.0,-0.08,-0.14,-0.46,3.94,342.47,25.2,100742.0,0.71,36.365,127.346,0.0,60.0
2023-07-27 07:49:45,13.5966,-0.07,-0.01,1.07,0.44,0.24,-0.34,-0.47,3.69,344.32,25.2,100739.0,0.93,36.365,127.346,0.0,61.0
2023-07-27 07:49:46,13.6868,-0.07,-0.01,1.07,0.4,-0.09,0.05,-0.3,3.88,344.12,25.19,100739.0,0.73,36.365,127.346,0.0,62.0
2023-07-27 07:49:46,13.7827,-0.07,0.0,1.07,0.32,-0.33,-0.11,-0.21,4.0,343.72,25.2,100739.0,0.94,36.365,127.346,0.0,60.0
2023-07-27 07:49:46,13.8903,-0.07,-0.01,1.07,0.27,0.04,0.06,-0.36,3.87,343.53,25.2,100739.0,0.96,36.365,127.346,0.0,59.0
2023-07-27 07:49:46,13.9985,-0.07,-0.01,1.07,0.53,-0.01,0.0,-0.42,3.94,343.66,25.2,100738.0,1.02,36.365,127.346,0.0,60.0
2023-07-27 07:49:46,14.1384,-0.07,-0.01,1.06,0.22,-0.02,-0.38,-0.33,3.95,344.25,25.2,100737.0,0.93,36.365,127.346,0.0,61.0
2023-07-27 07:49:46,14.4816,-0.07,-0.01,1.07,-0.03,0.18,-0.34,-0.3,3.71,343.39,25.2,100738.0,1.01,36.365,127.346,0.0,60.0
2023-07-27 07:49:46,14.5846,-0.07,-0.01,1.07,0.34,-0.21,0.02,-0.3,3.67,342.93,25.2,100738.0,1.03,36.365,127.346,0.0,61.0
2023-07-27 07:49:47,14.7007,-0.07,-0.01,1.07,0.71,-0.11,-0.12,-0.48,3.74,343.21,25.2,100741.0,0.77,36.365,127.346,0.0,60.0
